author_name,rating,content
Przemek Wachowiec,1,Odpalasz wersję free dostajesz 10.000zl żeby sie nauczyć jak dziala giełda czyli wirtualnie i każdy rynek zamknięty nie ma w co inwestowac jedynie 2 krypto waluty. Jakąś ściema. W tygodniu też wszystko pozamykane napisane runek od 9:00 i nic brak dostepu
Adrian Napora,1,Tragedia niby depozyt jest niski a nic z tym nie można zrobić!!! W nic nie zainwestujesz nie odzyskasz pieniedzy wyplaty cennik niczym w 5 gwiazdowym hotelu koniak .... Odstaje tragicznie od platform jak stormgain itd gdzie sam decydujesz o dzwigni prostocie itd . NIE POLECAM
Alexey M,1,Aktywacja konta trwa już cały rok
Artur Roda,2,"Uciążliwe ustawianie wykresów do każdej pozycji. Aplikacja zawiesza się co chwilę. Po uruchomieniu kręci się kółko ładowania, brakuje grafik i nie wyświetla tekstów. Można obserwować wykresy, lecz nie ma możliwości zakończenia, sprzedaży ani kupna pozycji. Uciążliwe ustawianie wykresów do każdej pozycji. Tak samo na telefonie jak i na tablecie."
Brandon,5,"Moglibyście dodac opcje blokowania edytowania chartu, często przez przypadek można przesunąć coś, jest to dość denerwujace. Powinna byc opcja np kłódka przy otwartej można edytować przy zamkniętej nie. Dodatkowo RSI. Mozna kreski dodac 80/20 ale nie pokazuje dokladnej liczby obecnej RSI tak jak na MetaTrader + dodatkowo powinno mozna na RSI wykreślić np trendline i chociażby dodac możliwość dodania alertu kiedy rsi jest ponizej xx lub powyzej xx."
Mariusz Iwański,4,"Obsługa aplikacji bardzo intuicyjna, wszystko bardzo przejrzyste. Natomiast kolorystyka motywów bardzo jaskrawa i nieprzyjemna, ciemny motyw zdecydowanie zbyt czarny i kontrastowy. Dużo przyjemniejsza obsługa byłaby przy stonowanej nie rażącej w oczy kolorystyce."
Jeremi Bombała,1,Nie da się ustawić stop loss i wyjść z aplikacji. Ustawiony stop loss znika nawet po wejściu w menu aplikacji. Bardzo słabo
Dominik Siwiec,4,jest ok
Martin R,2,"Niewiem po co te ciągłe aktualizacje aplikacji skoro niewidać żadnych usprawnień, raczej coraz więcej błędów... Aplikacja mocno kiepska."
Adrian,5,Duży + ode mnie .Wszystko jest na swoim miejscu ;)
Krzysztof Gryska,5,Polecam
